22
Degradation,Revision,Bug Fixing,Number of Packages,Number of Files,Number of Issues,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Hour of Day,Day of Week
false,00cea80653667573128a724e07c4fc1342d1d10a,false,1,1,1,9,7,16,2,1,9,2
false,03c2210fccc1dd458b5f588cadf130861444b519,false,1,1,1,3,6,9,-3,4,14,3
false,06660a00ba52e1c530587a3c46e16d2860470158,false,1,4,1,13,5,18,8,5,22,1
false,197906d5217dd205280394ad74955fa9a449ce1e,true,1,1,1,14,10,24,4,2,12,6
false,30323a5800834760bcc0fca25bea7f81a3fb0e6d,true,3,4,1,64,5,69,59,9,17,2
false,347301f7eee9f977d5198184dcac028f211a62ee,true,1,1,1,3,1,4,2,1,15,2
false,35c80feb09986c36239257975ca9824f1041cb67,false,1,1,1,1,1,2,0,1,10,6
false,4a6cfb90b0671b669e631a06240e5ef4d8c995ea,false,1,1,1,30,0,30,30,1,12,3
false,6dfd3d9d2cb7e378275db0458c9d241de8e7e7d8,true,1,2,1,2,6,8,-4,3,22,2
false,80e3c6a209f79de9074894325c07ecd96f6784fd,false,1,1,1,4,9,13,-5,1,15,3
false,83511b71da27477715e298b95bfc1fd8a988ea24,false,1,1,1,1,1,2,0,1,12,6
false,943a874c7704f82428697f2a6c2218d00b9bff09,false,1,1,1,17,1,18,16,2,10,6
false,9bf298b3b7da84bdc197f61ce0f2565fbdd43cea,true,1,1,1,12,2,14,10,3,21,4
false,c49d2044b48536a22bedd5568172ac54c2f0f198,true,3,3,1,78,12,90,66,9,23,3
false,cdc28993dce98812d3679a7fd8ffd0c941f6a0f6,true,1,1,1,5,0,5,5,1,18,2
false,e1f29e90ff3a35e117bb3ddc5ee2aefd900c13c8,true,1,2,1,118,26,144,92,6,19,3
false,e40ae9188ca3810eab77c1ed80efa6f05203b2ca,true,2,4,1,195,11,206,184,5,21,2
false,e9f116aa871cdccbc72c8329468154efef638e3c,false,1,5,1,209,51,260,158,5,18,2
false,f11a75c7a5bd86c424ed29d66847aaf0d25553c1,true,1,1,1,2,1,3,1,1,15,3
false,fe0686f6ec38b5016a5ed96722e7acd2443f5f12,false,1,2,1,2,2,4,0,2,15,5
true,3c6c41f19f6d4d9a236a7d902ed62816af41c00b,false,1,1,1,10,6,16,4,4,19,2
true,bc62f8cca03573160514444291513899211dae7e,false,1,10,1,527,65,592,462,13,20,2
