# Scenarios executed in both releases
126
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
Entry point for DefaultServletTest.testRangeRequests;0.0090541969571797;0.34028846509891675;28.7;32.233333333333334;30;30
Entry point for ServletHandlerTest.testAllNonProgrammaticFilterMappings;0.7797390315846515;0.8015549378818438;58.266666666666666;58.766666666666666;30;30
Entry point for AsyncContextTest.testDispatchWithContextAsyncContext;0.4638318841941821;0.6681063796183102;2.533333333333333;1.5333333333333332;30;30
Entry point for DefaultServletTest.testListingXSS;0.00807900843522553;0.029205409568444973;11.9;6.733333333333333;30;30
Entry point for DispatcherTest.testForwardWithParam;0.47437829882244653;0.5592305357919067;7.3;8.866666666666667;30;30
Entry point for AsyncServletTest.testNormal;NaN;1.0;0.0;0.0;30;30
Entry point for DispatcherTest.testForwardNonUTF8;0.30056554506985733;0.9351919702393391;15.5;14.066666666666666;30;30
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormMergedByForwardWithQuery;0.5031544738073292;0.43764133504824587;11.9;13.0;30;30
Entry point for AsyncIOServletTest.testAsyncReadThrowsError;0.5594760086748043;0.9823070530800848;13.033333333333333;12.066666666666666;30;30
Entry point for AsyncContextTest.testDispatch;0.3913484953622096;0.7338250612126413;4.1;6.733333333333333;30;30
Entry point for AsyncServletTest.testSuspendTimeoutSuspend;0.2687288027394068;0.4825169043645009;46.266666666666666;46.833333333333336;30;30
Entry point for AsyncServletTest.testSuspendWaitComplete;0.7909689560869242;0.8244957516547711;62.333333333333336;62.36666666666667;30;30
Entry point for DispatcherTest.testInclude;0.21079072126750542;0.416135847078279;7.866666666666667;10.4;30;30
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery;0.5670480046432196;0.39938939501369475;10.433333333333334;9.3;30;30
Entry point for AsyncServletIOTest.testBigWrites;0.2028489877109958;0.26750270341605387;2433.6;2433.4333333333334;30;30
Entry point for DispatcherTest.testWorkingResourceHandler;0.0700626884449293;0.25188082466191253;1.0333333333333332;3.7;30;30
Entry point for AsyncServletTest.testSuspendOnTimeoutComplete;0.44068104996915947;0.5058591780795983;218.36666666666667;218.46666666666667;30;30
Entry point for AsyncContextTest.testStartDispatchThrow;1.7983350584305883E-26;2.8719471245608474E-11;34.86666666666667;0.5333333333333333;30;30
Entry point for DispatcherTest.testWrappedIncludeToResourceHandler;0.6301964620969307;0.7958455424664551;5.733333333333333;6.7;30;30
Entry point for AsyncServletTest.testFwdWrapStartDispatchPath;0.567060380306295;0.6573804271100814;31.233333333333334;31.3;30;30
Entry point for AsyncServletTest.testSuspendWaitResume;0.2998657164002356;0.3750436235586131;15.533333333333333;15.666666666666666;30;30
Entry point for AsyncServletIOTest.testWritesFlushWrites;0.7948493229193064;0.8244957516547711;249.63333333333333;249.6;30;30
Entry point for AsyncServletTest.testSuspendOnTimeoutDispatch;0.7994089862947341;0.8244957516547711;218.43333333333334;218.46666666666667;30;30
Entry point for AsyncIOServletTest.testAsyncWriteClosed;0.9556972289882192;0.6256305639654388;129.0;128.9;30;30
Entry point for DispatcherTest.testIncludeToResourceHandler;0.15995033014973448;0.5011436676032931;16.166666666666668;18.8;30;30
Entry point for DispatcherTest.testForwardThenInclude;0.5305427987132324;0.6843225867624496;11.966666666666667;13.0;30;30
Entry point for ResponseHeadersTest.testResponseHeaderFormat;5.712397106392818E-19;6.373035432716279E-11;171.96666666666667;189.86666666666667;30;30
Entry point for DispatcherForwardTest.testQueryRetainedByForwardWithoutQuery;1.8301680188083889E-6;2.8719471245608474E-11;569.2666666666667;597.3333333333334;30;30
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormReplacedByForwardWithQuery;0.389433288442691;0.5542678363243183;14.6;13.533333333333333;30;30
Entry point for ServletHandlerTest.testMatchBeforeAndAfter;0.2797002521440356;0.4917829569534051;1.5666666666666667;3.1666666666666665;30;30
Entry point for ServletHandlerTest.testAllBeforeFilterMappings;0.7036488545281547;0.7449863001756435;3.1333333333333333;2.533333333333333;30;30
Entry point for AsyncContextTest.testSimpleAsyncContext;0.17656181430864692;0.35933426453934403;5.133333333333333;2.566666666666667;30;30
Entry point for AsyncIOServletTest.testAsyncReadThrowsException;2.964289230597657E-6;8.794537064725771E-4;29.066666666666666;20.4;30;30
Entry point for AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest;2.349075803701639E-10;7.31597272540796E-7;620.3666666666667;634.6;30;30
Entry point for DefaultServletTest.testGzip;0.2917847630487108;0.5692201637415295;15.566666666666666;16.133333333333333;30;30
Entry point for DefaultServletTest.testWelcome;0.046124778396888895;0.2488343839781535;28.6;22.466666666666665;30;30
Entry point for DispatcherTest.testForwardFilterToRogerServlet;0.8755473940833933;0.6467245773434842;27.166666666666668;27.533333333333335;30;30
Entry point for AsyncServletIOTest.testEmpty;1.5156056474389389E-62;2.8719471245608474E-11;6.8;179.83333333333334;30;30
Entry point for ErrorPageTest.testErrorException;5.387630473787696E-6;1.0541422260867961E-5;186.63333333333333;196.63333333333333;30;30
Entry point for DispatcherTest.testWrappedForwardToResourceHandler;0.805892070647491;0.8708108045360416;6.766666666666667;6.266666666666667;30;30
Entry point for DispatcherForwardTest.testQueryReplacedByForwardWithQuery;0.41539367981865305;0.5843624220907104;25.366666666666667;26.933333333333334;30;30
Entry point for ServletHandlerTest.testMatchAfterAndBefore;0.14406065372208776;0.39938939501369475;1.0666666666666667;3.1;30;30
Entry point for DefaultServletTest.testIfModifiedLarge;0.16840572257312514;0.20620548705301311;22.233333333333334;25.4;30;30
Entry point for DefaultServletTest.testIfETagLarge;0.5387966556435004;0.4825169043645009;44.13333333333333;42.266666666666666;30;30
Entry point for DefaultServletTest.testListingContextBreakout;0.08303068488413398;0.16237502241276713;49.333333333333336;47.166666666666664;30;30
Entry point for AsyncServletTest.testFwdStartDispatchPath;0.37970864050601627;0.5058591780795983;31.2;31.3;30;30
Entry point for AsyncServletTest.testSuspendResume;NaN;1.0;0.0;0.0;30;30
Entry point for DefaultServletTest.testResourceBase;0.07460916461332547;0.13732283484699326;9.3;5.7;30;30
Entry point for DispatcherTest.testServletForwardDotDot;1.2169700365023786E-9;1.9492039349255919E-7;207.86666666666667;222.16666666666666;30;30
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormByForwardWithoutQuery;0.0041620268908737655;0.018367959471385475;26.466666666666665;20.766666666666666;30;30
Entry point for DispatcherTest.testServletInclude;0.2961787497712707;0.5894511694056184;15.566666666666666;15.0;30;30
Entry point for AsyncContextListenersTest.testListenerClearedOnSecondRequest;5.708225539621316E-4;0.0019045321644495239;23.9;17.166666666666668;30;30
Entry point for AsyncServletTest.testWrapStartDispatch;0.06728660060434645;0.1278097965393732;39.0;35.4;30;30
Entry point for DefaultServletRangesTest.testUnsatisfiableRanges;0.7916533858195289;0.8072749507289148;5.766666666666667;6.3;30;30
Entry point for ServletHandlerTest.testExistingFilterMappings;0.9592950151507246;0.8244957516547711;5.2;5.3;30;30
