37
degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,012166803a08eb825ae90495f2728e06c45b9811,1132,22,false,10,14,1,110,28,138,82,30,13,3
false,0928e283851031cec2425c788269e6b163e5e1e7,3782,10,false,1,1,1,4,4,8,0,2,18,2
false,097ea8b5b5f494ffbe4fe0b49931c071ff440e4f,3746,25,true,1,1,1,42,67,109,-25,14,3,1
false,1278467fec2900bfb578f912218e746596b968ca,1182,9,true,1,2,1,72,1,73,71,5,16,6
false,22f16e52bf0fe9b445573a750eb28dfcbb929518,1185,7,false,2,3,1,17,8,25,9,4,7,2
false,2aa35922b47f6c65a5f6114965d33cdd8078e197,1130,24,true,1,1,1,13,0,13,13,2,19,7
false,3cdfe95608c99a6108149c92e7148d8adf9de088,1197,2,false,1,1,1,2,2,4,0,2,21,6
false,3e7dbe072e838adde0b1ac51ca0500165439eb19,3779,13,false,1,2,1,96,42,138,54,6,10,6
false,5cd939f63464e9bd46c87a75134fad7e75ede9e8,1129,26,false,1,1,1,9,9,18,0,1,9,6
false,6c47cc97111146396d2daf1a97051135d2eaf69e,1198,0,true,1,7,1,566,13,579,553,24,7,2
false,6f2401ac400d3254865e469ccea3e2d3384b7e01,1131,23,false,1,1,1,16,3,19,13,2,20,1
false,6fdf1138ca092073c0a5c57fc2f5e8c2589addd9,1177,14,true,1,2,1,2,4,6,-2,2,11,2
false,76043bc8c8283f3ca4ef45e7c2f667598719dd71,1171,2,false,9,24,1,251,256,507,-5,52,8,3
false,76355a28b04423662f97c56834ba2e2fd1e2eb9e,1156,0,false,2,2,1,170,3,173,167,6,12,4
false,795507aa7bd091914bde8b48f739b0e186387543,0,33,false,1,3,1,5,2,7,3,4,16,6
false,7966c426366f536c8b383baa78fed5e6c7925487,1126,27,true,1,1,1,3,3,6,0,1,13,5
false,800853049814e751d9194bcb7d1a5947a870215a,3729,12,true,1,1,1,22,0,22,22,4,17,6
false,917132e28d928329e06f21e3ed0ad962610d5248,1179,12,false,1,1,1,5,26,31,-21,3,18,3
false,927e28cb20854827a769d4fa8e3f3d9b6814e607,3749,25,false,1,2,1,31,4,35,27,6,5,1
false,9b468bc2758ead86690f633ee071e396c482c489,1172,2,false,1,4,1,1099,1043,2142,56,36,12,3
false,9c934116f2781af7a7e4d5647ba6cf45c4fed546,1133,21,false,1,1,1,86,2,88,84,10,11,4
false,a6541e40d4f773114a6a0503375a6564fc07e899,3753,24,false,1,2,1,62,7,69,55,11,11,2
false,ac348956e3b4f435d662ac7c1303e7d4fd8d9111,1195,2,true,1,2,1,6,2,8,4,2,17,6
false,b627824b186212ce09e3ad81c2dbd1a6ac64e10a,1178,13,false,1,1,1,17,11,28,6,1,9,3
false,bdab831ba5deae6871bcb571d91207848b762744,3732,5,false,3,11,1,138,28,166,110,20,16,6
false,bf5c928796712740ceba42384f0dfe4b45a94fb5,1153,4,false,1,1,1,14,1,15,13,1,20,6
false,c2dc993c424904d0717c0388cf2690c49155d2e7,1135,20,true,9,27,2,451,31,482,420,55,8,5
false,c58f28dfdd4a75708d6ffa909d7d1ab1e6a3fadc,3744,25,true,11,52,2,3920,1088,5008,2832,97,2,1
false,d2b8560a760ddd7298126dffeb06f3e3c521944c,1182,9,true,1,5,2,28,6,34,22,6,18,6
false,d4f074186dcc86f258bc4af10b6d816bda9fee3b,1161,38,true,1,2,1,25,1,26,24,2,21,1
false,dd0782990be15fbaf91f393591cadd4c67eb6931,1162,33,false,3,3,1,24,6,30,18,6,15,7
false,e8b5c9ccae21bb48f536f44232df0a2a7fe4e0e5,1136,15,false,1,1,1,7,3,10,4,2,6,3
false,ed6df98653ffff0838dcb7c21d6e32dd9d159c7f,3781,13,true,2,5,1,330,196,526,134,17,18,6
false,f175ce06535e748b7df9b1bc8eb7c028d41780bc,3730,10,false,1,1,1,69,27,96,42,12,17,1
false,fb538ea532d2d0e31748f04634259ebfc3c9ced1,3789,13,false,14,37,1,1103,984,2087,119,89,18,3
false,fde13d96f92e9388869edb3ba80afe212d082fd4,70,15,false,1,2,1,36,0,36,36,2,16,2
true,4ad3984c8b725ef59856d174d09d1209d65933fc,1169,8,false,2,7,1,288,4,292,284,8,7,4
