# 1 Common members from the execution of scenario Entry point for ServletHandlerTest.testMatchBeforeAndAfter | Test = UTest, Value = 0.05
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
Entry point for ServletHandlerTest.testMatchBeforeAndAfter;0.0849330159319423;6.69729449021883E-4;3906153.7;1453911.1;10;10;-2452242.6;-1
36
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta;Variation
org.eclipse.jetty.util.component.ContainerLifeCycle.$SWITCH_TABLE$org$eclipse$jetty$util$component$ContainerLifeCycle$Managed();9.294370313541019E-6;1.9338723101114397E-5;527.2;368.975;40;40;-158.22500000000002;-1
org.eclipse.jetty.servlet.ServletHandler.getFilters();5.794952172501942E-6;4.1657603512601504E-5;429.85;311.25;20;20;-118.60000000000002;-1
org.eclipse.jetty.util.ArrayUtil.addToArray(java.lang.Object[],java.lang.Object,java.lang.Class);2.1435907432520635E-6;1.5045973945082558E-5;2712.55;1464.95;20;20;-1247.6000000000001;-1
org.eclipse.jetty.util.component.ContainerLifeCycle.addBean(java.lang.Object);0.0022363264690196316;5.8281607318022566E-9;306912.875;160648.925;40;40;-146263.95;-1
org.eclipse.jetty.servlet.BaseHolder.setServletHandler(org.eclipse.jetty.servlet.ServletHandler);1.0930541209411925E-7;1.0971539597948166E-6;424.95;308.68333333333334;60;60;-116.26666666666665;-1
org.eclipse.jetty.servlet.ServletHandler.prependFilterMapping(org.eclipse.jetty.servlet.FilterMapping);0.01474185774133433;6.69729449021883E-4;463044.4;249039.2;10;10;-214005.2;-1
org.eclipse.jetty.util.component.AbstractLifeCycle();0.024082086265645203;0.0031970994479345594;3571.0;2867.7;10;10;-703.3000000000002;-1
org.eclipse.jetty.servlet.ServletHandler.getFilterMappings();4.4264938636290415E-8;2.5176972617835247E-8;444.54285714285714;312.3857142857143;70;70;-132.15714285714284;-1
org.eclipse.jetty.servlet.ServletHandler.addFilter(org.eclipse.jetty.servlet.FilterHolder);0.15633079121813453;8.072023591321198E-6;1170051.6;329530.55;20;20;-840521.05;-1
org.eclipse.jetty.servlet.FilterMapping.getFilterHolder();5.302002868869214E-8;4.252866414589107E-8;450.175;328.7;40;40;-121.47500000000002;-1
org.eclipse.jetty.servlet.BaseHolder.getSource();5.141206899852017E-5;4.680403238632724E-5;469.0;339.1;20;20;-129.89999999999998;-1
org.eclipse.jetty.servlet.Holder.getName();7.738619723715207E-4;0.007617064306244203;370.4;289.56666666666666;30;30;-80.83333333333331;-1
org.eclipse.jetty.util.component.ContainerLifeCycle$Bean(java.lang.Object,org.eclipse.jetty.util.component.ContainerLifeCycle.Bean);7.579492143780041E-5;5.513569270503282E-4;482.975;380.2;40;40;-102.77500000000003;-1
org.eclipse.jetty.servlet.ServletHandler.invalidateChainsCache();2.556606155340859E-5;4.146041132679912E-5;535.325;378.25;40;40;-157.07500000000005;-1
org.eclipse.jetty.servlet.ServletHandler.addFilterMapping(org.eclipse.jetty.servlet.FilterMapping);0.0460287862213118;5.065414846923133E-4;559097.7;326766.5;10;10;-232331.19999999995;-1
org.eclipse.jetty.util.component.ContainerLifeCycle$Bean.access$3(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean,org.eclipse.jetty.util.component.ContainerLifeCycle.Managed);1.6947390080534633E-7;5.97171312921585E-6;510.55;344.325;40;40;-166.22500000000002;-1
org.eclipse.jetty.util.component.AbstractLifeCycle.isStarted();4.1957163211671024E-5;4.060706865927077E-5;852.325;620.475;40;40;-231.85000000000002;-1
org.eclipse.jetty.server.handler.HandlerWrapper();8.606712301695284E-4;2.1218287122259927E-4;482.9;278.4;10;10;-204.5;-1
